id_locacao;id_loja;id_atendente;id_cliente;id_veiculo;data_locacao;data_devolucao;valor_diaria;dias_locacao;valor_total;status
1;2;6;54;35;23-01-2023;11-02-2023;106,87;19;2030,53;Cancelada
2;12;36;2;8;20-09-2022;24-09-2022;111,39;4;445,56;Finalizada
3;25;75;86;34;19-08-2023;08-09-2023;203,24;20;4064,8;Finalizada
4;5;13;13;48;07-01-2025;19-01-2025;318,86;12;3826,32;Ativa
5;12;35;38;34;09-05-2022;02-06-2022;194,76;24;4674,24;Cancelada
6;20;58;69;22;19-01-2023;21-01-2023;355,67;2;711,34;Finalizada
7;21;62;27;22;04-09-2025;06-09-2025;335,73;2;671,46;Ativa
8;13;39;68;29;06-02-2022;22-02-2022;386,39;16;6182,24;Ativa
9;14;40;67;25;06-01-2024;17-01-2024;110,65;11;1217,15;Finalizada
10;21;61;14;29;05-02-2024;06-03-2024;331,18;30;9935,4;Finalizada
11;9;27;70;14;11-09-2022;27-09-2022;344,39;16;5510,24;Ativa
12;23;69;55;36;29-04-2025;22-05-2025;103,05;23;2370,15;Ativa
13;19;55;31;18;15-11-2023;16-11-2023;408,04;1;408,04;Ativa
14;12;34;20;40;21-10-2024;22-10-2024;358,66;1;358,66;Ativa
15;2;5;75;24;25-02-2025;13-03-2025;381,63;16;6106,08;Finalizada
16;19;56;11;48;16-03-2022;12-04-2022;308,48;27;8328,96;Ativa
17;25;74;86;46;12-08-2023;18-08-2023;105,71;6;634,26;Ativa
18;21;61;27;14;06-07-2022;01-08-2022;397,26;26;10328,76;Cancelada
19;22;64;63;3;09-06-2023;15-06-2023;366,95;6;2201,7;Finalizada
20;23;69;97;3;09-09-2025;08-10-2025;320,98;29;9308,42;Finalizada
21;25;74;76;50;18-07-2025;10-08-2025;235,82;23;5423,86;Ativa
22;9;25;53;42;11-07-2022;02-08-2022;113,56;22;2498,32;Ativa
23;6;16;91;11;11-10-2024;06-11-2024;101,04;26;2627,04;Ativa
24;12;34;79;30;03-02-2023;22-02-2023;117,35;19;2229,65;Finalizada
25;28;84;61;29;07-12-2022;26-12-2022;313,54;19;5957,26;Cancelada
26;9;26;98;30;25-11-2025;03-12-2025;109,63;8;877,04;Finalizada
27;2;6;74;34;14-06-2024;28-06-2024;236,15;14;3306,1;Finalizada
28;10;28;37;1;19-05-2024;18-06-2024;347,03;30;10410,9;Ativa
29;1;1;88;34;15-07-2024;09-08-2024;232,09;25;5802,25;Cancelada
30;23;69;36;39;07-09-2024;01-10-2024;362,11;24;8690,64;Finalizada
31;5;13;46;10;21-07-2022;24-07-2022;100,41;3;301,23;Finalizada
32;3;8;81;30;15-04-2024;19-04-2024;107,8;4;431,2;Ativa
33;12;34;38;42;04-11-2024;18-11-2024;119,31;14;1670,34;Ativa
34;13;39;32;7;11-09-2024;09-10-2024;207,92;28;5821,76;Cancelada
35;12;36;45;2;26-03-2022;16-04-2022;369,87;21;7767,27;Cancelada
36;1;2;88;33;14-03-2024;02-04-2024;376,79;19;7159,01;Cancelada
37;25;75;8;46;24-12-2023;04-01-2024;105,53;11;1160,83;Finalizada
38;25;75;6;44;18-02-2022;16-03-2022;117,14;26;3045,64;Cancelada
39;23;67;33;48;03-10-2024;09-10-2024;321,96;6;1931,76;Finalizada
40;9;27;96;39;12-10-2023;28-10-2023;370,48;16;5927,68;Finalizada
41;1;3;15;20;21-04-2023;29-04-2023;112,46;8;899,68;Finalizada
42;22;66;82;38;27-04-2022;22-05-2022;387,8;25;9695,0;Finalizada
43;10;30;78;6;29-04-2025;01-05-2025;244,7;2;489,4;Finalizada
44;17;49;92;22;29-04-2025;15-05-2025;384,12;16;6145,92;Cancelada
45;28;83;87;20;22-08-2024;08-09-2024;107,01;17;1819,17;Ativa
46;24;72;47;48;06-09-2024;10-09-2024;342,21;4;1368,84;Cancelada
47;9;26;7;32;23-02-2022;03-03-2022;246,91;8;1975,28;Finalizada
48;24;72;48;45;04-11-2023;30-11-2023;306,48;26;7968,48;Cancelada
49;19;57;31;3;20-02-2025;11-03-2025;389,5;19;7400,5;Cancelada
50;7;20;89;34;01-03-2023;26-03-2023;185,73;25;4643,25;Ativa
51;7;21;4;14;29-12-2025;11-01-2026;367,64;13;4779,32;Finalizada
52;3;7;18;32;12-05-2024;29-05-2024;224,86;17;3822,62;Cancelada
53;1;1;19;2;12-11-2023;17-11-2023;373,56;5;1867,8;Cancelada
54;23;69;55;24;09-08-2022;05-09-2022;404,86;27;10931,22;Cancelada
55;24;72;60;47;09-09-2025;30-09-2025;225,11;21;4727,31;Finalizada
56;5;13;46;35;12-01-2025;06-02-2025;105,55;25;2638,75;Finalizada
57;5;14;73;50;16-10-2025;01-11-2025;234,55;16;3752,8;Ativa
58;13;38;77;16;13-11-2025;04-12-2025;336,46;21;7065,66;Cancelada
59;9;26;96;11;19-09-2023;05-10-2023;109,32;16;1749,12;Cancelada
60;21;62;50;36;31-12-2022;09-01-2023;113,69;9;1023,21;Cancelada
61;26;76;66;30;12-03-2025;21-03-2025;110,29;9;992,61;Ativa
62;14;40;67;35;27-04-2022;11-05-2022;105,02;14;1470,28;Finalizada
63;26;77;42;45;04-10-2022;19-10-2022;396,47;15;5947,05;Finalizada
64;13;38;71;16;23-07-2022;08-08-2022;362,19;16;5795,04;Cancelada
65;27;79;29;43;30-03-2024;17-04-2024;337,74;18;6079,32;Cancelada
66;21;62;50;44;21-10-2023;27-10-2023;118,06;6;708,36;Finalizada
67;22;66;82;43;07-06-2025;28-06-2025;377,37;21;7924,77;Ativa
68;8;23;80;37;18-10-2024;20-10-2024;111,97;2;223,94;Ativa
69;12;34;20;9;19-09-2023;01-10-2023;104,74;12;1256,88;Ativa
70;17;50;92;38;02-12-2023;20-12-2023;301,37;18;5424,66;Cancelada
71;19;57;31;7;07-02-2022;13-02-2022;202,59;6;1215,54;Ativa
72;13;38;3;43;27-02-2023;07-03-2023;385,71;8;3085,68;Cancelada
73;1;1;30;45;17-11-2023;13-12-2023;379,34;26;9862,84;Finalizada
74;9;27;84;9;31-12-2024;19-01-2025;101,68;19;1931,92;Ativa
75;20;59;69;8;27-05-2024;08-06-2024;116,41;12;1396,92;Finalizada
76;25;73;76;21;05-10-2022;08-10-2022;100,17;3;300,51;Finalizada
77;10;28;78;32;20-06-2024;29-06-2024;196,27;9;1766,43;Ativa
78;19;57;11;26;01-06-2024;05-06-2024;198,82;4;795,28;Ativa
79;10;30;37;38;10-10-2024;04-11-2024;335,59;25;8389,75;Cancelada
80;1;1;41;37;16-08-2023;15-09-2023;113,63;30;3408,9;Ativa
81;24;71;94;5;24-10-2024;15-11-2024;119,31;22;2624,82;Finalizada
82;28;82;87;3;14-09-2025;17-09-2025;394,25;3;1182,75;Finalizada
83;6;18;9;42;08-03-2022;13-03-2022;102,95;5;514,75;Cancelada
84;28;84;61;14;15-11-2022;28-11-2022;324,94;13;4224,22;Ativa
85;2;4;75;31;26-08-2023;08-09-2023;390,42;13;5075,46;Finalizada
86;19;57;11;12;30-07-2025;13-08-2025;108,4;14;1517,6;Finalizada
87;21;61;14;39;30-06-2024;25-07-2024;395,12;25;9878,0;Cancelada
88;9;26;98;11;22-10-2022;02-11-2022;117,05;11;1287,55;Finalizada
89;3;9;18;5;05-08-2025;07-08-2025;108,97;2;217,94;Finalizada
90;24;71;60;3;16-05-2022;26-05-2022;334,32;10;3343,2;Ativa
91;9;26;98;9;17-02-2022;07-03-2022;117,13;18;2108,34;Ativa
92;2;4;74;27;10-05-2025;11-05-2025;180,16;1;180,16;Finalizada
93;22;65;63;27;10-08-2025;09-09-2025;239,16;30;7174,8;Cancelada
94;20;60;26;45;03-02-2022;14-02-2022;355,31;11;3908,41;Finalizada
95;3;9;65;16;09-08-2023;12-08-2023;363,63;3;1090,89;Ativa
96;28;83;61;17;11-11-2025;14-11-2025;100,68;3;302,04;Finalizada
97;20;59;90;17;19-09-2022;22-09-2022;118,31;3;354,93;Ativa
98;28;83;61;34;15-10-2023;27-10-2023;181,83;12;2181,96;Cancelada
99;23;68;55;50;15-01-2025;25-01-2025;206,03;10;2060,3;Finalizada
100;5;14;24;29;18-02-2024;25-02-2024;380,16;7;2661,12;Cancelada
101;1;2;30;34;07-09-2022;20-09-2022;181,01;13;2353,13;Finalizada
102;24;72;94;22;04-06-2024;24-06-2024;391,78;20;7835,6;Cancelada
103;25;75;6;49;05-12-2022;06-12-2022;381,82;1;381,82;Ativa
104;12;35;2;4;23-06-2022;16-07-2022;100,61;23;2314,03;Finalizada
105;21;62;50;38;26-09-2024;16-10-2024;386,85;20;7737,0;Cancelada
106;7;21;89;2;08-04-2025;18-04-2025;405,36;10;4053,6;Finalizada
107;1;1;5;6;09-09-2022;20-09-2022;219,21;11;2411,31;Ativa
108;9;26;84;38;22-02-2023;12-03-2023;304,64;18;5483,52;Finalizada
109;22;65;99;19;01-05-2025;12-05-2025;350,18;11;3851,98;Finalizada
110;22;66;82;25;29-11-2023;15-12-2023;109,21;16;1747,36;Ativa
111;21;62;27;32;18-02-2022;27-02-2022;188,43;9;1695,87;Finalizada
112;20;60;90;1;17-03-2023;05-04-2023;342,58;19;6509,02;Cancelada
113;12;36;79;8;11-07-2023;26-07-2023;113,88;15;1708,2;Finalizada
114;23;69;33;13;11-10-2025;17-10-2025;181,65;6;1089,9;Ativa
115;11;32;59;4;06-04-2023;29-04-2023;110,38;23;2538,74;Finalizada
116;6;16;9;2;13-02-2025;15-03-2025;352,68;30;10580,4;Ativa
117;27;79;49;12;08-02-2025;11-02-2025;114,64;3;343,92;Cancelada
118;19;57;31;42;02-02-2024;01-03-2024;104,66;28;2930,48;Cancelada
119;13;38;68;4;28-05-2025;03-06-2025;106,71;6;640,26;Ativa
120;5;14;13;47;21-03-2024;09-04-2024;191,38;19;3636,22;Ativa
121;27;80;35;10;26-07-2025;22-08-2025;109,68;27;2961,36;Ativa
122;27;81;44;9;06-06-2024;12-06-2024;104,12;6;624,72;Cancelada
123;1;3;15;35;25-09-2023;07-10-2023;117,94;12;1415,28;Ativa
124;2;4;54;14;30-03-2024;15-04-2024;336,77;16;5388,32;Ativa
125;28;83;87;20;27-02-2022;23-03-2022;119,03;24;2856,72;Ativa
126;26;76;42;37;13-10-2022;24-10-2022;116,85;11;1285,35;Ativa
127;7;21;4;29;26-04-2024;06-05-2024;380,12;10;3801,2;Finalizada
128;13;39;71;31;12-05-2022;29-05-2022;361,92;17;6152,64;Ativa
129;6;18;91;7;02-05-2023;24-05-2023;216,62;22;4765,64;Finalizada
130;9;26;98;30;16-09-2024;16-10-2024;118,15;30;3544,5;Cancelada
131;13;39;17;43;26-12-2023;13-01-2024;323,73;18;5827,14;Ativa
132;9;26;70;33;05-08-2024;27-08-2024;326,91;22;7192,02;Finalizada
133;13;37;17;32;10-11-2025;21-11-2025;195,79;11;2153,69;Finalizada
134;5;15;46;20;10-04-2022;02-05-2022;108,24;22;2381,28;Ativa
135;24;71;85;12;05-11-2025;11-11-2025;119,01;6;714,06;Finalizada
136;13;37;3;31;08-05-2022;30-05-2022;352,93;22;7764,46;Cancelada
137;21;61;50;41;28-08-2022;13-09-2022;349,45;16;5591,2;Ativa
138;25;73;8;11;23-03-2023;16-04-2023;106,65;24;2559,6;Cancelada
139;12;34;79;16;07-01-2023;23-01-2023;399,53;16;6392,48;Ativa
140;17;49;92;25;27-03-2025;05-04-2025;105,02;9;945,18;Finalizada
141;13;39;68;39;07-09-2022;13-09-2022;350,9;6;2105,4;Finalizada
142;14;41;67;3;05-03-2025;25-03-2025;362,26;20;7245,2;Finalizada
143;17;50;92;39;13-02-2024;08-03-2024;327,12;24;7850,88;Ativa
144;9;27;70;30;07-07-2024;02-08-2024;100,84;26;2621,84;Ativa
145;10;28;10;29;21-09-2025;14-10-2025;320,31;23;7367,13;Cancelada
146;10;30;10;37;21-06-2024;18-07-2024;115,42;27;3116,34;Ativa
147;27;80;29;18;20-11-2022;03-12-2022;359,81;13;4677,53;Ativa
148;25;75;6;14;04-01-2023;30-01-2023;348,78;26;9068,28;Ativa
149;10;29;78;1;21-05-2025;20-06-2025;328,7;30;9861,0;Cancelada
150;12;35;38;36;26-04-2022;06-05-2022;119,43;10;1194,3;Cancelada
151;20;58;69;49;21-06-2024;05-07-2024;348,71;14;4881,94;Cancelada
152;12;34;21;40;24-05-2024;07-06-2024;367,68;14;5147,52;Ativa
153;13;38;57;32;20-04-2025;03-05-2025;230,94;13;3002,22;Finalizada
154;24;72;60;36;17-05-2022;24-05-2022;112,41;7;786,87;Cancelada
155;20;59;90;6;27-02-2022;03-03-2022;214,27;4;857,08;Ativa
156;24;72;60;47;19-01-2023;06-02-2023;239,93;18;4318,74;Cancelada
157;19;55;34;37;20-03-2022;28-03-2022;107,68;8;861,44;Ativa
158;21;62;27;36;05-03-2022;20-03-2022;117,17;15;1757,55;Cancelada
159;8;22;95;19;01-05-2025;05-05-2025;356,22;4;1424,88;Cancelada
160;1;3;5;5;11-03-2023;05-04-2023;113,43;25;2835,75;Finalizada
161;9;27;84;5;16-07-2025;07-08-2025;103,52;22;2277,44;Ativa
162;27;81;72;49;06-09-2022;02-10-2022;363,3;26;9445,8;Ativa
163;21;61;50;15;08-03-2022;02-04-2022;112,57;25;2814,25;Finalizada
164;24;71;85;35;26-09-2023;12-10-2023;107,56;16;1720,96;Cancelada
165;27;80;29;18;11-01-2023;01-02-2023;358,7;21;7532,7;Ativa
166;14;42;67;42;24-02-2025;14-03-2025;103,13;18;1856,34;Ativa
167;20;58;26;26;16-01-2025;17-01-2025;239,45;1;239,45;Ativa
168;23;67;55;39;05-06-2022;20-06-2022;341,72;15;5125,8;Ativa
169;20;60;90;44;15-09-2022;17-09-2022;109,02;2;218,04;Cancelada
170;13;39;71;37;08-08-2023;15-08-2023;114,91;7;804,37;Cancelada
171;19;57;31;7;28-03-2024;27-04-2024;216,63;30;6498,9;Cancelada
172;26;78;39;48;04-10-2024;09-10-2024;354,38;5;1771,9;Cancelada
173;24;71;47;10;27-09-2025;17-10-2025;105,03;20;2100,6;Ativa
174;13;37;71;37;26-01-2022;08-02-2022;102,38;13;1330,94;Ativa
175;9;26;84;14;27-11-2024;22-12-2024;310,86;25;7771,5;Cancelada
176;24;70;94;7;15-03-2022;03-04-2022;182,61;19;3469,59;Cancelada
177;20;59;90;30;12-02-2022;16-02-2022;106,49;4;425,96;Finalizada
178;13;37;32;1;27-05-2025;17-06-2025;397,65;21;8350,65;Cancelada
179;1;3;88;12;30-11-2024;11-12-2024;109,78;11;1207,58;Finalizada
180;13;37;57;27;29-01-2024;10-02-2024;197,59;12;2371,08;Ativa
181;25;75;86;23;15-12-2022;23-12-2022;108,49;8;867,92;Cancelada
182;11;33;59;20;03-11-2025;22-11-2025;109,44;19;2079,36;Ativa
183;10;30;10;28;03-04-2025;18-04-2025;404,98;15;6074,7;Finalizada
184;2;6;74;33;22-08-2023;15-09-2023;393,85;24;9452,4;Ativa
185;10;28;78;37;29-06-2024;04-07-2024;107,19;5;535,95;Ativa
186;10;29;78;42;21-10-2025;08-11-2025;118,96;18;2141,28;Finalizada
187;15;44;58;33;20-01-2024;19-02-2024;334,2;30;10026,0;Ativa
188;2;6;12;12;10-03-2025;02-04-2025;110,21;23;2534,83;Ativa
189;26;78;42;30;03-10-2022;30-10-2022;107,41;27;2900,07;Ativa
190;17;49;25;17;31-10-2022;24-11-2022;114,9;24;2757,6;Cancelada
191;27;81;29;41;15-12-2023;05-01-2024;350,13;21;7352,73;Cancelada
192;8;24;51;9;28-06-2023;17-07-2023;102,25;19;1942,75;Finalizada
193;24;70;47;20;25-12-2022;11-01-2023;108,69;17;1847,73;Cancelada
194;14;41;67;32;17-04-2024;21-04-2024;209,29;4;837,16;Finalizada
195;7;21;4;36;28-12-2023;25-01-2024;116,94;28;3274,32;Cancelada
196;12;36;79;34;29-05-2022;13-06-2022;217,44;15;3261,6;Finalizada
197;3;7;81;6;23-05-2025;24-05-2025;239,84;1;239,84;Cancelada
198;11;31;59;46;24-11-2022;06-12-2022;103,61;12;1243,32;Finalizada
199;20;59;90;29;23-05-2022;18-06-2022;313,02;26;8138,52;Ativa
200;27;80;72;26;02-06-2024;11-06-2024;210,53;9;1894,77;Finalizada
201;2;4;12;20;25-07-2023;18-08-2023;114,09;24;2738,16;Finalizada
202;1;3;19;30;25-04-2025;09-05-2025;104,51;14;1463,14;Cancelada
203;7;19;83;42;22-04-2023;23-04-2023;119,6;1;119,6;Cancelada
204;26;78;42;45;08-08-2025;17-08-2025;384,79;9;3463,11;Ativa
205;25;74;86;4;02-11-2023;29-11-2023;113,45;27;3063,15;Finalizada
206;17;49;25;15;23-02-2023;08-03-2023;113,06;13;1469,78;Finalizada
207;12;36;20;17;26-03-2025;10-04-2025;115,73;15;1735,95;Cancelada
208;12;36;20;23;22-12-2022;19-01-2023;109,38;28;3062,64;Cancelada
209;24;72;60;13;06-02-2025;07-03-2025;188,36;29;5462,44;Cancelada
210;27;79;44;39;09-07-2024;25-07-2024;363,38;16;5814,08;Ativa
211;15;43;58;23;27-08-2023;07-09-2023;114,91;11;1264,01;Cancelada
212;20;59;69;12;30-04-2022;27-05-2022;106,25;27;2868,75;Finalizada
213;27;81;49;44;13-01-2023;27-01-2023;119,43;14;1672,02;Ativa
214;17;51;62;38;10-07-2025;24-07-2025;368,27;14;5155,78;Ativa
215;28;82;87;17;29-03-2025;30-03-2025;110,77;1;110,77;Finalizada
216;24;71;60;47;23-04-2022;28-04-2022;201,4;5;1007,0;Cancelada
217;20;58;69;15;04-01-2024;10-01-2024;101,06;6;606,36;Finalizada
218;13;37;71;22;17-07-2024;26-07-2024;384,4;9;3459,6;Cancelada
219;26;77;42;17;12-07-2025;08-08-2025;113,36;27;3060,72;Cancelada
220;21;62;28;33;25-07-2025;21-08-2025;341,1;27;9209,7;Cancelada
221;10;30;10;19;16-12-2023;24-12-2023;373,3;8;2986,4;Ativa
222;5;14;46;41;03-05-2025;13-05-2025;343,4;10;3434,0;Ativa
223;1;2;19;43;26-08-2024;28-08-2024;345,54;2;691,08;Cancelada
224;21;62;27;39;04-09-2024;23-09-2024;330,99;19;6288,81;Finalizada
225;8;24;80;45;29-12-2025;27-01-2026;335,25;29;9722,25;Finalizada
226;8;24;95;24;14-03-2023;24-03-2023;400,68;10;4006,8;Finalizada
227;9;25;53;40;24-12-2022;15-01-2023;356,67;22;7846,74;Ativa
228;13;38;17;24;18-10-2022;02-11-2022;406,57;15;6098,55;Ativa
229;17;51;25;29;21-04-2025;15-05-2025;344,04;24;8256,96;Finalizada
230;2;5;75;1;22-02-2025;14-03-2025;329,18;20;6583,6;Finalizada
231;23;69;97;2;15-06-2022;06-07-2022;373,19;21;7836,99;Finalizada
232;9;25;7;17;09-07-2022;07-08-2022;105,17;29;3049,93;Cancelada
233;1;3;41;49;21-09-2025;04-10-2025;389,11;13;5058,43;Ativa
234;7;21;83;41;24-02-2024;08-03-2024;396,37;13;5152,81;Ativa
235;25;74;8;42;29-10-2022;17-11-2022;116,74;19;2218,06;Cancelada
236;9;27;84;29;28-03-2022;12-04-2022;399,8;15;5997,0;Ativa
237;7;19;89;2;27-10-2022;12-11-2022;378,71;16;6059,36;Ativa
238;3;8;65;38;25-03-2022;14-04-2022;321,27;20;6425,4;Ativa
239;12;35;2;21;16-10-2023;20-10-2023;112,61;4;450,44;Cancelada
240;22;64;82;21;04-03-2022;08-03-2022;103,94;4;415,76;Ativa
241;19;57;22;6;07-02-2025;16-02-2025;228,33;9;2054,97;Ativa
242;22;64;100;19;14-01-2025;06-02-2025;375,76;23;8642,48;Ativa
243;13;37;71;38;23-01-2024;31-01-2024;322,01;8;2576,08;Finalizada
244;22;65;100;15;09-04-2023;03-05-2023;118,6;24;2846,4;Cancelada
245;17;50;62;40;12-11-2024;25-11-2024;410,33;13;5334,29;Ativa
246;13;38;64;50;19-10-2023;07-11-2023;185,05;19;3515,95;Ativa
247;17;49;92;44;19-11-2022;21-11-2022;114,67;2;229,34;Finalizada
248;1;2;19;48;18-03-2025;02-04-2025;320,72;15;4810,8;Finalizada
249;8;23;40;27;16-12-2025;31-12-2025;201,97;15;3029,55;Finalizada
250;9;26;53;25;27-01-2023;30-01-2023;113,22;3;339,66;Finalizada
251;2;6;54;32;22-11-2025;25-11-2025;196,76;3;590,28;Cancelada
252;6;17;93;50;12-05-2022;07-06-2022;232,21;26;6037,46;Ativa
253;24;71;48;4;15-06-2023;11-07-2023;105,59;26;2745,34;Finalizada
254;15;44;58;26;03-10-2024;24-10-2024;188,92;21;3967,32;Cancelada
255;22;64;100;12;24-07-2022;10-08-2022;100,04;17;1700,68;Finalizada
256;13;38;77;5;20-01-2025;17-02-2025;112,79;28;3158,12;Cancelada
257;2;5;12;49;30-05-2025;20-06-2025;300,8;21;6316,8;Cancelada
258;1;1;15;12;20-02-2025;23-02-2025;100,89;3;302,67;Finalizada
259;21;63;50;24;16-07-2023;15-08-2023;350,03;30;10500,9;Cancelada
260;28;84;61;4;20-12-2024;12-01-2025;119,96;23;2759,08;Finalizada
261;5;13;46;6;14-03-2022;06-04-2022;237,89;23;5471,47;Cancelada
262;24;72;48;46;13-07-2023;23-07-2023;118,81;10;1188,1;Finalizada
263;9;25;96;26;30-11-2022;13-12-2022;181,41;13;2358,33;Finalizada
264;19;55;22;2;25-11-2023;01-12-2023;351,17;6;2107,02;Ativa
265;13;39;32;40;08-11-2024;17-11-2024;373,4;9;3360,6;Finalizada
266;14;41;1;36;12-08-2023;23-08-2023;105,93;11;1165,23;Ativa
267;5;13;13;28;12-05-2023;08-06-2023;408,86;27;11039,22;Finalizada
268;1;2;30;2;04-12-2024;07-12-2024;419,52;3;1258,56;Finalizada
269;21;61;27;34;21-06-2025;22-06-2025;184,96;1;184,96;Finalizada
270;19;55;22;41;14-10-2023;04-11-2023;392,37;21;8239,77;Ativa
271;2;6;74;47;01-01-2024;30-01-2024;207,02;29;6003,58;Cancelada
272;22;64;63;38;04-11-2022;18-11-2022;380,81;14;5331,34;Finalizada
273;2;6;74;25;12-11-2023;13-11-2023;115,41;1;115,41;Cancelada
274;1;3;88;23;02-10-2023;18-10-2023;113,26;16;1812,16;Finalizada
275;3;9;81;30;27-10-2025;06-11-2025;115,6;10;1156,0;Finalizada
276;17;50;62;16;25-12-2022;26-12-2022;322,92;1;322,92;Ativa
277;2;5;12;26;09-07-2025;16-07-2025;185,18;7;1296,26;Cancelada
278;12;36;79;50;30-10-2023;18-11-2023;236,73;19;4497,87;Finalizada
279;22;66;100;19;22-02-2024;04-03-2024;390,61;11;4296,71;Cancelada
280;19;55;34;31;15-04-2024;06-05-2024;414,82;21;8711,22;Cancelada
281;1;3;41;21;02-06-2024;13-06-2024;103,02;11;1133,22;Ativa
282;13;37;57;32;24-03-2024;12-04-2024;191,35;19;3635,65;Cancelada
283;8;24;51;14;31-01-2022;03-02-2022;327,19;3;981,57;Ativa
284;14;42;1;7;12-07-2023;09-08-2023;192,72;28;5396,16;Ativa
285;22;65;82;39;16-01-2022;05-02-2022;349,56;20;6991,2;Cancelada
286;9;26;96;43;03-04-2025;10-04-2025;359,01;7;2513,07;Cancelada
287;1;1;19;40;09-11-2024;15-11-2024;371,81;6;2230,86;Cancelada
288;26;76;39;39;03-05-2024;29-05-2024;359,02;26;9334,52;Ativa
289;25;74;76;12;13-05-2024;08-06-2024;102,95;26;2676,7;Ativa
290;27;79;35;37;10-07-2022;04-08-2022;110,79;25;2769,75;Ativa
291;20;58;69;34;05-11-2024;25-11-2024;206,08;20;4121,6;Cancelada
292;20;59;26;42;30-03-2024;13-04-2024;109,92;14;1538,88;Finalizada
293;8;24;40;36;25-11-2022;06-12-2022;119,13;11;1310,43;Finalizada
294;12;34;21;6;18-07-2023;06-08-2023;219,35;19;4167,65;Ativa
295;1;3;88;21;16-07-2023;30-07-2023;115,96;14;1623,44;Finalizada
296;22;64;63;15;03-05-2022;14-05-2022;118,77;11;1306,47;Cancelada
297;3;8;65;8;31-03-2025;03-04-2025;119,09;3;357,27;Ativa
298;12;36;2;26;31-10-2023;29-11-2023;224,72;29;6516,88;Finalizada
299;2;6;75;37;23-10-2022;21-11-2022;102,16;29;2962,64;Finalizada
300;12;34;38;14;13-11-2025;24-11-2025;344,16;11;3785,76;Ativa
301;5;13;13;8;04-04-2022;10-04-2022;114,63;6;687,78;Cancelada
302;26;78;42;15;04-04-2023;25-04-2023;117,22;21;2461,62;Cancelada
303;12;34;21;12;11-05-2022;29-05-2022;118,66;18;2135,88;Ativa
304;26;76;42;43;24-08-2024;22-09-2024;364,9;29;10582,1;Ativa
305;21;61;50;42;24-04-2022;11-05-2022;119,42;17;2030,14;Cancelada
306;9;27;84;12;06-02-2023;12-02-2023;116,22;6;697,32;Ativa
307;25;74;76;15;22-06-2024;04-07-2024;103,94;12;1247,28;Cancelada
308;24;71;47;50;30-01-2024;31-01-2024;197,49;1;197,49;Cancelada
309;2;6;75;19;19-06-2024;29-06-2024;419,05;10;4190,5;Finalizada
